mouse_gene_symbol	mouse_chromosome
Gm21154	14
Gm8161	14
4930402K13Rik	X
Gm8165	14
Rpl7a-ps11	X
Fthl17-ps3	X
Gm7324	14
Pde10a	17
Gspt2	X
Gm9672	14
Gm17208	14
Mir6941	12
Gm42939	3
Hbq1b	11
Gm5402	X
Gm16506	14
Gm42938	3
Nudt14	12
Gm15230	X
Gm42538	3
Npff	15
Gm47336	13
Gm49078	14
Gm49080	14
Gm4814	13
Manba	3
Gm6526	14
Hba-a2	11
Gm15231	X
Gm22777	13
Gm29670	1
Gm48174	13
Zxdb	X
Gm28047	15
Gm28650	1
A630019I02Rik	13
Gm49965	14
Gm47154	9
Gm43133	5
Gm48176	13
Mif-ps6	9
Cnih3	1
Crot	5
Hbq1a	11
Nnt	13
Gm9587	14
Gm16302	9
Gm8814	X
Gm8180	14
Sun2	15
Gm39526	X
Gm49082	14
Gm7061	X
Gm49081	14
Lancl3	X
Clk3	9
Gm26583	12
Gm41138	14
Git1	11
Brf1	12
Gm49083	14
Ear1	14
Spock1	13
Ear-ps12	14
Ang-ps2	14
Gm14830	X
Rpl13-ps5	X
Ap1g2	14
Gm14862	X
Zxda	X
Gm371	X
Xk	X
Mlycd	8
Gm8538	16
Slc15a2	16
Gm15610	5
Gm8817	X
Gm37153	5
Gm15611	5
Gm40264	5
2900069G24Rik	1
Tmem243	5
Gm16547	1
H2al1m	X
Gm47541	12
Gm16539	1
Tll1	8
Gm15232	X
Btbd6	12
Inpp1	1
Gm25481	X
Spin4	X
Gm3409	5
Gm6829	X
Gm15228	X
Gm14863	X
H2al1k	X
Tent2	13
Tmsb4x	X
9230104M06Rik	12
Mtf2	5
Pacs2	12
Atp1a1	3
Ccdc121	1
Hibch	1
Tlr8	X
Trp53i13	11
AA672651	8
Gm35521	8
Mir710	8
4921524J17Rik	8
Cybb	X
C730002L08Rik	19
Gm45594	8
1700051O22Rik	8
Morf4l1	9
Cpe	8
Neurl1a	19
Gm44750	6
Gm5138	6
Abhd15	11
Ing3	6
Vmn2r76	7
Gm10392	11
Gm42937	3
Gm16100	3
Gm42941	3
Oaz2-ps	3
Sh3pxd2b	11
Mir5622	2
Gm43135	3
4930591A17Rik	2
Gm16107	1
Gm43134	3
Mab21l3	3
Gm45518	8
Ccdc93	1
Mir7578	2
Ear-ps9	14
Mylk2	2
Osgin1	8
Olfr310	7
Ear-ps8	14
Ang-ps3	14
Jph4	14
Gm20480	7
Xkr8	4
Olfr309	7
Klhl3	13
Tex22	12
Gm25728	X
H2al1o	X
Gm36693	19
Olfr308	7
Tlr7	X
Gm50339	19
Mta1	12
Aldh1a1	19
Lrrk1	7
Foxs1	2
Lmna	3
Smpdl3b	4
Cdh4	2
Mir874	13
Gm2076	13
Gm16575	15
Gpt2	8
Hnrnpa0	13
Gm16576	15
Ear10	14
1700066J03Rik	13
Gm52997	X
Dnal4	15
Gm49020	14
Prps2	X
Gm8113	14
Gm23596	14
Gm9550	14
Gm46455	14
Ang5	14
Ubtd2	11
Gm8425	16
Ear-ps7	14
Gm49087	14
Rpa2	4
Efcab9	11
Ear-ps10	14
Eaf2	16
Ang6	14
Dynlt3	X
Gm8194	14
Dhrs2	14
Gm6684	19
Stk10	11
Aldh1a7	19
Gm14300	2
Slc38a11	2
Gm49021	14
Msmo1	8
Gm49022	14
Gm6852	14
Nptxr	15
Gm49023	14
Gm15239	X
Gm26368	X
Gm6744	X
Gm8894	14
Gm3287	14
H2ap	X
H2al3	X
Tmem41b-ps	9
Sytl5	X
9430062P05Rik	9
Tmc1	19
Gm17231	9
Rnf157	11
Gpr83	9
Ear-ps2	14
Dnaja2	8
Ang-ps1	14
Gm49099	14
Themis2	4
Gm16545	14
Gm49101	14
Ear2	14
Iqcb1	16
Gm49102	14
Gm49103	14
Gm18216	14
Gm3327	14
Tecta	9
Gm45424	8
Gm45425	8
Gm8207	14
Npcd	15
4930503E14Rik	14
Necab2	8
Gm13022	4
Gm48295	13
Idnk	13
1700047E10Rik	14
Elavl4	4
Gm32750	19
Gm8212	14
Gm15392	1
Gm49104	14
Gm15393	1
Sh3pxd2a	19
Gm32857	14
Olfr307	7
Htr5b	1
Gm49110	14
Gm6532	14
Gm49111	14
Gm8217	1
Syt3	7
Dhrs4	14
1700019D03Rik	1
Atf7	15
Dusp15	2
Gm43919	6
Gm5754	X
Gm43920	6
Clec12b	6
Frmpd4	X
Ryr2	13
Slc38a8	8
Mstn	1
2600002D14Rik	16
Gm49599	16
Tmed5	5
Golgb1	16
Mir6337	2
Slc22a15	3
Clec1b	6
Clip4	17
Gm24349	1
Wdr5	2
Gm47629	9
Dnah14	1
Olfr306-ps1	7
Izumo1r	9
Gm8220	14
Klhl2	8
Ppp4c	7
Gm49109	14
Gm8224	14
Gm5930	14
Mir6995	19
Ccdc18	5
4930554I06Rik	19
Crip2	12
Gm8229	14
Gm3370	14
Gm52981	19
Gm3371	14
Gm8232	14
Gm50236	19
4930565N06Rik	16
Gm49779	14
Gm50243	19
Gm21991	14
Gm17184	14
Gm49600	16
Zfand5	19
BC061237	14
Cped1	6
Hcls1	16
Gm37584	3
Mex3a	3
Gm17093	14
Mir1905	3
Gm17183	14
Nhlh2	3
Gm24138	2
Gm25541	2
Gm45124	7
Gm5624	14
Gm18789	9
Gm13421	2
Crip1	12
Gm44752	7
Gm10997	8
Gm47214	9
Gm45345	8
Gm10974	7
Gm45405	8
Olfr305	7
Taf4	2
Gm32507	8
Arid3b	9
Gm43243	3
Gm18894	3
Gm45242	8
Gm50255	19
Gm8247	14
Rab25	3
Rps11-ps2	11
Neto2	8
Ubald2	11
Mir7057	7
Stn1	19
Olfr304	7
Gm16439	14
Gm8256	14
Gm7118	5
Lrrc4b	7
Gm8190	5
Gm9593	14
Gm43083	5
Dr1	5
Gm8257	14
Gm15238	X
Taok1	11
Srpx	X
Fbxo40	16
Gm21754	14
Lamtor2	3
Tedc1	12
Gm43081	5
Gm6541	14
Olfr303	7
Gm3415	5
Gm8267	14
Gm45541	7
Olfr301	7
Gm49605	16
Gm34060	14
Gm8494	5
Gm49142	14
Ddx18	1
Polq	16
Gm17187	14
Olfr300-ps1	7
Gm49143	14
Gpr12	5
Gm17070	14
Olfr299	7
Gm49145	14
Ppp1r8	4
Gm34198	14
Ptgdr	14
Tpd52	3
Olfr298	7
Gm34333	5
4921531C22Rik	2
4930573C15Rik	5
Gm16976	14
Olfr297	7
Gm43310	12
Gm14299	2
Gm19557	19
Tmem121	12
Gm17919	7
Add1	5
Scn3a	2
Gda	19
Gm25622	12
Gm47053	12
Gm18524	14
Trim3	7
Gm25141	15
Rpl39-ps	15
Gm49148	14
Gm4544	15
Plekhg3	12
Gm49147	14
Mir327	14
4930431P03Rik	14
Mir8109	8
Itfg1	8
Clec9a	6
Panx1	9
Atp5g2	15
Gm49364	14
Gm17173	14
Cbx6	15
Gm37664	1
Gm15240	X
Gm23690	1
Ptger2	14
Gm15237	X
Gm28591	1
Gm8832	X
Gm7209	X
Gm37920	1
Gm15394	1
Msl3	X
1700019A02Rik	1
Gm49180	14
Hephl1	9
Gm21010	14
Gm49181	14
Gm49183	14
Gm49184	14
Carmil3	14
Gm39214	8
Mbtps1	8
Gm12734	11
Gm22767	4
Stx12	4
Gm8392	1
Acly	11
Gm13595	2
Gm28590	1
Tbcel	9
Gm42573	6
Gm24547	1
Ptprj	2
Gm36982	1
Gm43914	6
Gm3443	19
Gm25771	1
Gm29192	1
Wnt16	6
Gm37970	1
Gm8403	1
1110059E24Rik	19
Sp100	1
Clec1a	6
Mir5135	12
AI463170	12
Mir688	15
Gm10856	15
Gm49412	15
Sptb	12
Calcoco1	15
Stxbp5l	16
Gm13033	4
Abhd17b	19
Gm15233	X
Olfr296-ps1	7
Espn	4
Gm45632	7
Arhgap6	X
Gm50129	19
Clec7a	6
Olfr295	7
Tmem192	8
Slk	19
Aspdh	7
Gm16322	9
Grik4	9
Olr1	6
Olfr294	7
Shkbp1	7
Trim75	8
Gm15426	17
Gm37616	3
Alk	17
Casq2	3
Trim60	8
Gm47494	13
Trim61	8
Fam3c	6
Gm26956	13
Gm47493	13
Gm47323	13
Gm16419	13
Gm45886	8
Gm47322	13
Gm45448	8
Ubqln1	13
Apela	8
Gm49473	15
Gm36560	15
Gm47931	9
Hoxc13	15
Gm10663	8
Gm12732	11
Smim31	8
Gm12733	11
Ubl7	9
Hoxc12	15
Gm23132	11
Gm49924	17
Mir7116	11
Gm19183	17
Nufip2	11
Gm49923	17
Gm45445	8
Gm26963	17
Hotair	15
Gm48810	8
Gm7619	8
Gm45249	8
Gm7624	8
Hoxc11	15
Haghl	17
Vaultrc-ps1	8
Phkb	8
4933423P22Rik	2
4930539M17Rik	3
Hoxc10	15
Gm8860	3
Gm43244	3
4632404M16Rik	3
Lsm14b	2
Ubqln4	3
Hoxc5	15
Qrich2	11
Mir196a-2	15
Hoxc9	15
Hoxc8	15
Txndc16	14
Hoxc6	15
Zbtb10	3
Gm50358	19
Gm16068	19
Psma7	2
Mir615	15
Gm43630	6
Cemip2	19
C030034L19Rik	3
Apobec3	15
Tmem52b	6
Gm20479	7
Ssr2	3
Cryba1	11
Olfr293	7
Olfr292	7
Gm15261	X
Amelx	X
Aldh1a3	7
Gm44120	6
Churc1	12
Gm8927	6
Gm11191	11
Gm8930	6
Gm11739	11
1700101I11Rik	6
Gm48357	13
Gm48432	13
Gm48441	13
Fbxw11	11
Gm18861	6
Rxra	2
Paip1	13
Gm43629	6
Rtraf-ps	3
Sema7a	9
Fntb	12
Zfp704	3
Gabarapl1	6
Gm16167	8
Hm629797	8
Gm23904	8
Gm24490	8
Gm17322	9
Gm44243	6
Gm44251	6
Marchf1	8
Klre1	6
Pigg	5
Adamts7	9
Gm38001	3
Gm17806	3
Mir6966	17
Vangl1	3
Ypel5	17
Gpx2	12
Rab15	12
Gm44753	7
Foxp1	6
Gm44754	7
Gm33570	7
Gm50130	19
Gm44610	7
Ldhb-ps	19
Ccdc78	17
Gm50133	19
Asb7	7
Gm41819	19
Gm50134	19
Mir7036b	5
9330198I05Rik	5
Gm42867	5
Col17a1	19
Hccs	X
Gm42518	5
Gm42517	5
Usp12	5
Gm8192	11
Odad4	11
Lbh	17
Gm16160	3
Gm43241	3
A230001M10Rik	3
Gm23649	17
Gm30420	17
Ss18l1	2
1700010I14Rik	17
Gm43242	3
Folh1	7
Gm43245	3
Pag1	3
Dusp6	10
1700041I07Rik	5
Gm10419	5
2810430I11Rik	2
Max	12
Mtg2	2
Gm15246	X
Gm23515	8
Gm15355	8
Gkap1	13
Gm34921	10
Gm26123	8
Rpl21	5
Gm24205	8
Gm48089	10
Gm15354	8
BC022960	X
Gm15356	8
Gm15245	X
4930555O08Rik	11
Tma16	8
B530045E10Rik	10
Gm53036	11
Cnp	11
Gm28911	1
Ngf	3
Arhgef9	X
Gm47218	12
Gad1-ps	10
Gm35041	12
Gm20058	1
Gm35035	10
Gm35189	12
Gm28912	1
Gm18636	10
Gm15765	14
Gm34983	10
Coq6	12
Cpne6	14
Gm46231	10
Lbr	1
Gm48085	10
Gm20110	10
Gm18409	10
Smim23	11
Gm35101	10
Gm47578	10
Ttll9	2
Rps18-ps7	17
Csl	10
6530411M01Rik	17
Gm16337	3
Gm26555	13
Gm42679	3
Gm42678	3
Gm32568	8
Gm35206	10
Atat1	17
Hoxc4	15
Gm19202	3
Tktl2	8
Gm47579	10
Gm25091	5
Gm23202	5
Nfkb1	3
Gm17870	10
Rasl11a	5
Gm12110	11
Ccdc6	10
Gm16330	8
5730585A16Rik	15
Gm12111	11
Gm28876	15
Vmn2r77	7
Npy5r	8
Gm12112	11
Mtr	13
Rpsa-ps4	11
Pde6b	5
Cbx7	15
Gm12114	11
Fgf18	11
Vmn2r-ps87	7
Npy1r	8
Gm19203	7
Gm45911	8
LOC665443	8
Aldoa	7
Gm5533	1
Naf1	8
Prpsap1	11
A630001G21Rik	1
Mrln	10
Gm39185	8
Gm25275	8
Slc16a9	10
Gm7639	8
Gm45827	8
Gm24274	8
Gm24677	8
Gm45880	8
Gm10660	8
Nat1	8
Nat2	8
Mir8096	1
9930111H07Rik	1
Cyp11a1	9
Gm9755	8
Pms1	1
Nat3	8
Pdgfb	15
Gm7097	10
Gm47021	13
Gm9877	10
Gm36247	8
Gm44391	8
Atp5k	5
Gm20108	10
Kif27	13
Gm47946	10
Psd3	8
Gm34319	5
Tbc1d2b	9
R3hdm2	10
Rpl36-ps1	11
Gm29292	11
Mir7213	15
Gtf3a	5
Gm41361	15
Rpl3	15
Sphk1	11
Gpr137c	14
Gm50281	19
Gm26085	19
Gm24805	19
Entpd5	12
Gm50282	19
Gm16200	9
Sfr1	19
Gm30849	9
Gm22717	9
Gm22866	9
Gm2497	9
Arhgef12	9
Gm49194	14
Snord83b	15
Snord43	15
Gm24204	15
Nrl	14
Syngr1	15
Mir6369	13
4833420G17Rik	13
Gm14199	2
Cfap43	19
Frmd4a	2
Gm28777	1
Pdgfra	5
Gm10876	14
Ormdl1	1
Gm49117	14
Ero1a	14
Vmn2r78	7
Gm15665	16
Gm49567	16
Gtf2e1	16
Gm28778	1
Tab1	15
Arfip2	7
Cab39	1
Ranbp1	16
C87487	17
Gm49806	17
Gm8492	17
Mgat3	15
Gm7947	17
Gm17748	17
4930588D02Rik	15
Gm17728	17
Gm8375	15
Gm25777	16
Antkmt	17
Mief1	15
Gm49776	16
Gm29605	9
Gm29604	9
Mir8090	19
Gm5831	9
Gm28703	9
Trmt2a	16
Gsto1	19
Gm9752	13
Gm6236	3
Gm37665	9
Gm20561	9
Psmc6	14
2210016F16Rik	13
Gm29408	9
Gm42677	3
Gm5620	9
Gm36960	9
Gm17877	3
Gm29602	9
Gm42682	3
Gm37812	9
Tspan2os	3
Gm18378	9
Gm37457	9
Gm37040	9
3110070M22Rik	13
Gm43430	3
Tlcd5	9
Fabp5	3
Tmem267	13
Itm2c	1
Gm13077	4
Hes2	4
Gm49807	17
Pabpc6	17
Gm38335	3
Gm28652	9
Gm9833	3
Gm50367	17
Gm48265	13
A730094K22Rik	9
Gm34684	17
Zic1	9
Ccl28	13
Gm37308	3
Gsto2	19
Bbof1	12
4930452A19Rik	17
Pmp2	3
Atf4	15
Gm48300	13
Gm49808	17
Agbl4	4
4933407L21Rik	1
Actn2	13
Gm49809	17
Gm37389	3
Metrn	17
Gm28884	1
Fabp9	3
Gpr55	1
Rps19bp1	15
Pou2f3	9
Osgepl1	1
Rnf113a2	12
Aldh6a1	12
Fabp4	3
Cacna1i	15
Ranbp17	11
Lclat1	17
Tspan2	3
Gm15991	8
Josd2	7
Gm22018	8
Sh2d4a	8
Vsx2	12
Pck2	14
Rpl26-ps6	9
Oaf	9
Gm45739	8
Gm19170	8
Csgalnact1	8
Gm12806	4
Gm12807	4
Gm12804	4
1700074H08Rik	13
Gm12805	4
Zic4	9
Fam76a	4
Gm28551	1
Abcd4	12
Gm5445	13
Gm9311	17
Hmgcs1	13
Gm18800	1
Gm31369	15
Gm25406	17
E330032C10Rik	17
4632432E15Rik	3
Enthd1	15
Gm37421	3
Dpp10	1
1700029B24Rik	3
Fbxl16	17
Slc39a8	3
Itprip	19
Gm23220	15
Gm19141	15
Grap2	15
Cfap58	19
Wdr24	17
Gm37477	9
Gm48342	13
Gm29478	9
Nim1k	13
Gm37987	9
Gm26101	9
D630033O11Rik	9
Gm41077	13
Gm50430	19
Mrps18b	17
Gm49553	15
Sorcs3	19
Mir6957	15
Fam83f	15
Gm31409	9
Anp32-ps	11
Homer1	13
Plscr5	9
Gm12118	11
Gabrp	11
A430088P11Rik	15
Trim29	9
Tnrc6b	15
A730061H03Rik	14
Lin52	12
Styx	14
Mir7052	7
5430431A17Rik	7
Bend5	4
Vmn2r79	7
D130052B06Rik	11
Ube2o	11
Tshb	3
Dicer1	12
1700125H03Rik	8
Gm36799	9
Gm44925	7
Gm47475	9
Gm50436	19
Gm15656	8
Gm6230	7
Gm28215	9
4930535F04Rik	19
Gm36855	9
Gm15654	8
Gm50441	19
Gm24781	8
Rps13-ps1	8
Tlcd3b	7
Gm50442	19
Gm50444	19
Gm18602	8
Gm29909	9
Gm5118	8
Gm6975	19
Gm29961	9
Gm27246	8
Plscr1	9
Dgcr8	16
Siah1-ps1	19
Mfsd7a	5
Rpl13a-ps1	19
Gm10637	8
Acot7	4
Gm42681	3
Gm27169	8
4933401H06Rik	3
Sorcs1	19
Gm27207	8
Gm27208	8
Gm43429	3
Gm43428	3
4930535O05Rik	8
Gm18330	3
Gm19872	8
Qk	17
Fabp12	3
Gm2694	8
Gnpnat1	14
Gm42802	5
Gm42803	5
Gm5364	9
Mir7025	5
Mir6386	9
Gm42799	5
Gm30015	9
Gm18345	5
Gm42800	5
Gm24502	5
Gm47542	9
Mfsd10	5
Rnf123	9
Gm11742	11
Gm44856	7
Cbln1	8
A930014E01Rik	3
Gm31243	3
Timm10b	7
Dnajc7	11
Mir1306	16
Gm38364	3
Mir3618	16
Gm43602	3
Gm5281	3
Tango2	16
Impa1	3
Gm27016	8
1700120C18Rik	8
4933402J07Rik	8
Gm6992	12
Gm18502	12
Gm37478	1
Gm25408	12
Fam110c	12
Gm37221	1
Gm24791	1
Gm37066	1
Gm49512	15
Mir5113	15
Gm32443	12
Gm37781	1
Gm37396	1
Adsl	15
Gm48100	12
Gm38263	1
Gm13096	4
6030469F06Rik	12
Gm28929	1
Ints10	8
Gpr153	4
Rpgr	X
Gm18875	1
Capn13	17
Gm37551	1
Gm38073	1
Gm25578	1
Gm28299	1
4930451I11Rik	7
Gm37717	1
Gm18024	12
1700121L03Rik	1
Gm48117	12
Gm6993	12
Asnsd1	1
Gm32899	12
Gm24613	12
Lamb1	12
Gm34250	14
Hes3	4
Gm44854	7
Fermt2	14
Emc10	7
Gm38303	3
Bank1	3
Nup160	2
Fgr	4
Gm49875	17
1700110C19Rik	17
Pacrg	17
Mir185	16
Comt	16
A230009B12Rik	17
Gm16168	17
Gm16169	17
Jmjd8	17
Gm50478	1
Gm28779	1
Gm6799	1
9630050E16Rik	14
Gm6801	1
4930527F14Rik	14
Lins1	7
Gm45352	19
Gm41144	14
Gm5206	14
Gm26629	19
Gm49123	14
Stau2	1
Slc10a5	3
Gm15601	14
Gm50302	19
Mtif3	5
Gm9408	3
Gm50317	19
Icmt	4
Gm49124	14
Gm15764	16
Gm43402	3
Gm25644	19
Gm50325	19
1700030L20Rik	3
Dcaf11	14
Txnrd2	16
Sycp1	3
Gm50326	19
Rpl31-ps18	19
Gm50330	19
Gm50329	19
Ins1	19
Ahdc1	4
Gm50331	19
Pcgf3	5
Gm47075	13
Gm50332	19
Gm47088	13
AA387883	19
Gm47155	13
Ppp1r10	17
Gm18960	13
Jmy	13
Xpnpep1	19
Gm6612	15
Sgsm3	15
Gm15549	8
Zfp423	8
Gm2639	2
Gm13188	2
Gm10862	2
Gm38085	2
Gm6109	13
1700080N15Rik	2
Gm30155	13
Bhmt	13
Gm13189	2
Gm10086	5
Gm37814	2
Gm37107	2
Lnx2	5
Gm38348	2
Pdrg1	2
Gm15622	13
Spata6	4
Gm20696	6
Heatr1	13
Gm45098	7
Gm10623	7
Gm20705	6
Aanat	11
Gm45799	7
Cplx1	5
Klrd1	6
Stub1	17
Gm2716	8
Gm53040	8
Gm43364	5
Nop14	5
Gm42816	3
Hrh3	2
Cnep1r1	8
Gm33952	3
Gm33866	3
Kcnip1	11
Dclk1	3
Dld	12
Gm22504	7
Doc2a	7
Eif4e3	6
Mir1894	17
Rbx1-ps	17
Mir3082	17
Galnt14	17
Gm44104	6
Gpr27	6
Gm13187	2
Gm15522	5
Ptprz1	6
Polr1d	5
Gm36988	2
Xkr7	2
Lpl	8
Gm17180	2
Gm23691	2
Gm13175	2
Slc26a3	12
Gm13179	2
Gm12119	11
Gm12120	11
Kcnmb1	11
Scn2a	2
Rps10-ps4	5
Gm31462	15
Gsx1	5
Mrtfa	15
Gm24556	5
Nkiras2	11
Plut	5
Fam71e1	7
Gm15932	14
Pdx1	5
Gm5928	13
Fitm1	14
Bhmt2	13
Gm27033	5
Mir7k	5
Cdx2	5
Psme1	14
Ros1	10
Urad	5
Dmgdh	13
Gm8801	17
Gm29778	5
Grk4	5
Cers3	7
Gm12961	4
Gm12960	4
Myo15	11
Gm49876	17
Rnf207	4
Gm49878	17
Gm49877	17
D630014O11Rik	17
Ehd3	17
Gm44646	7
Rhbdl1	17
Gm9359	12
Dnhd1	7
Cbll1	12
Prok2	6
AW495222	13
Gm45780	8
Gm33103	8
Slc18a1	8
Zfp131	13
Gm42560	5
Mir467g	5
Flt3	5
Mir6407	19
1700054A03Rik	19
Mrps36-ps2	7
Gm26748	6
Rrp8	7
Btf3-ps6	6
Gm30381	19
Gm4948	17
Klrk1	6
Gm9618	19
Gm20683	17
Add3	19
Prkn	17
Gm26597	5
Plscr2	9
Gm6054	5
Gm29793	5
D5Ertd605e	5
Gm43461	5
Gm15716	8
Gm43460	5
Heatr3	8
Mga	2
Clip1	5
Gm6092	X
Wasf2	4
Gm14807	X
Gm3712	X
Gm6681	6
Mybpc2	7
Gm14806	X
Tpt1-ps3	6
Ddhd1	14
Nectin1	9
Gm43067	6
Gm29542	12
Amer1	X
Gm29541	12
Gm44442	6
Gm33201	6
2010109P13Rik	6
Adcyap1r1	6
Otc	X
Gm15620	13
Gm47210	13
Gm49588	16
Gm3145	17
Gm23308	13
Gm28505	17
AF067063	13
Gm37402	17
Arvcf	16
Gm37332	17
D13Ertd608e	13
Gm28118	17
Gm29139	9
Gm10513	17
Ccdc33	9
Gm21358	13
Abcf1	17
Gm37619	13
Arsb	13
4933416E14Rik	X
Tfrc	16
Asb12	X
Mir7017	4
Gpr3	4
Pfn5	X
Gm9043	X
Rpl22	4
Tspan7	X
Mir5624	13
Tcstv1	13
Gm24737	13
Gm47216	13
Cycs-ps3	13
Gm21761	13
Gm9988	8
Mir7071	8
9430002A10Rik	8
Gm21181	13
Atp6v1b2	8
B020031M17Rik	13
Gm25131	15
Gm49522	15
4930483J18Rik	15
Sptbn4	7
Gm20784	13
Gm36161	13
Gm49537	15
Gm21370	13
Mchr1	15
Gm22108	13
Gm36079	13
Gm5931	X
Cd164l2	4
Gm14470	X
8430426J06Rik	15
Gm14480	X
Lhfpl2	13
Mid1ip1	X
Slc25a17	15
Tnk2	16
Mir877	17
Agpat4	17
Gm23819	10
Gm20630	10
Gm7568	1
Gm18513	10
Map3k6	4
Gm14493	X
Gm15907	13
Kitl	10
Gm14473	X
Gm14485	X
Gm21188	13
Gm14481	X
Ube2w	1
Zc4h2	X
Gm24798	13
Gm31544	13
St13	15
Gm21378	13
Gm20767	13
Gm20769	13
Tdgf1-ps2	17
Gm21818	13
Gm20763	13
Lzts1	8
Prr3	17
Gm21762	13
Gm21731	13
AF067061	13
Gm38342	1
Dnah7a	1
BC147527	13
Zfp930	8
Gm20900	13
Gm33178	8
Gm7684	8
Lgals8	13
D130040H23Rik	8
H2al1a	X
Gm7688	8
H2al1b	X
Emc9	14
H2al1c	X
Slc5a9	4
Gm10033	8
H2al1d	X
H2al1e	X
Gm23326	9
Gm20529	9
H2al1f	X
Gm30373	9
H2al1g	X
Rhot2	17
Gm10688	9
H2al1h	X
Amigo3	9
H2al1i	X
Tent4b	8
E230034D01Rik	9
H2al1j	X
Gm14515	X
Gm49125	14
Gm14513	X
Gm16130	9
Gm26314	X
Mir5131	14
A530076I17Rik	14
Zc3h12b	X
Gm47345	9
Gm7206	14
Gm39323	9
Gm15516	14
Gm15218	14
Gm8317	14
1700057G04Rik	9
Gm15220	14
Gm46475	14
Gm35533	10
Gm49192	14
Gm6580	14
Gm37257	14
Gm47627	10
Ubb-ps	14
Gm8689	10
Xpnpep3	15
Gm15217	14
Rpl23a-ps13	X
Stac3	10
Gm14491	X
Gm14512	X
1700010D01Rik	X
Bmp4	14
Gm15493	9
Mid1	X
Thy1	9
Gm52953	2
Gm15222	14
Gm15221	14
Col5a1	2
Gm48910	14
Gm49380	9
Gm48911	14
Gm34756	14
Gm48912	14
Gm39325	9
Gm49319	14
Plscr4	9
E130120K24Rik	14
Rubie	14
Zfp868	8
4933425B07Rik	14
Gm9476	10
Dnajb7	15
Gm47632	10
Gm18761	14
Gm47628	10
Stk17b	1
D330046F09Rik	14
Gm47630	10
Gm17025	15
Gm4898	10
Zfp964	8
Gm48917	14
Rbx1	15
Ndufa4l2	10
Gm48924	14
Skint8	4
Psme2	14
Zfp869	8
Gm25417	9
Zfand1	3
Gm37545	9
Gm8701	10
Scamp1	13
Mst1	9
Dcbld1	10
Chd5	4
Gnl1	17
Gm49406	15
Gm5218	15
1110025M09Rik	15
Ep300	15
Gm37863	1
Zfp963	8
Actr3	1
Gm20422	8
Zfp866	8
Adamts17	7
Atp13a1	8
Rybp	6
Gm25132	3
Gm19817	3
Gm9831	3
Gm20508	17
Gm21954	3
A930015D03Rik	17
Gm42607	3
Gm42608	3
Klrc3	6
Gm25404	3
H2-T24	17
Gm43548	3
Gm4301	10
Chmp4c	3
Gm4302	10
Gm4303	10
Gm4305	10
Gm8711	10
Xdh	17
Cdkn3	14
Gm4307	10
Gm4308	10
Gm43549	3
Ppp3ca	3
Gm4310	10
Tcstv3	13
Gm47631	10
Gm8723	10
Gm18422	6
Gm4312	10
Gm32089	13
Gm4781	10
Gm44045	6
Gm48102	13
Gm44044	6
Gm47673	10
Edaradd	13
Mir7088	9
Gm23234	6
Gm44107	6
Plod2	9
Fam13c	10
1700049E22Rik	6
Gm25651	X
4933400A11Rik	X
Gm44755	7
Aass	6
Gm44924	7
Ccm2l	2
Gm44609	7
Gm17909	7
Gm45101	7
1700112J16Rik	7
Gm22067	15
Gm49444	15
G530011O06Rik	X
Gm5668	13
L3mbtl2	15
Gm9776	13
Gm15726	X
Gm15247	X
Ino80e	7
Gm24840	5
Gm15068	X
Gm42651	5
Gm30239	13
Gm13645	4
Las1l	X
Gm43797	5
Skint7	4
Cnih1	14
Kit	5
Ap3b1	13
Gm13372	2
Osbpl2	2
Gmip	8
Gm48933	14
Gm48939	14
Gm42822	3
Rnf31	14
4930599N24Rik	3
Gm43357	3
Gm9409	3
Sytl1	4
Gm43356	3
Gm26107	3
Gm567	3
Neurod6	6
Snx16	3
Gm28706	1
Gm3279	6
Gm8945	6
Gm5989	6
Eloc	1
Gm8950	6
Gm5301	6
Fezf1	6
Tnk2os	16
Gm9556	16
Muc4	16
C130093G08Rik	6
4930469K13Rik	11
Itprid1	6
Prpf18	2
Gm2495	9
Gm29396	9
Zfp385c	11
4933400C23Rik	9
Muc20	16
Blvrb	7
Gm28054	9
Gm29397	9
1700034K08Rik	9
Gm36991	13
Gm48287	13
Gm32305	13
Gm32351	13
Gm29783	10
Gm48316	13
Gm9621	9
Gm37831	3
Gm46389	13
Smbd1	16
Gm18692	3
Gm47165	9
Shmt2	10
Gm5369	9
Gm37244	3
Ero1b	13
Gm22795	3
Gm21631	3
Smco4	9
Gm26769	16
Gm37832	3
Gm8919	3
Rubcn	16
Gm10745	3
Gm44544	11
Dhx58os	11
Gm24200	9
Msn	X
Ppp1r17	6
Gm5370	9
Pgam1-ps2	7
Gm37996	3
Gm28934	9
Gm2429	3
Dipk2a	9
Spib	7
Gm8935	3
Gm18068	17
Rhbdf2	11
Gm8939	3
Gm24475	17
Srd5a2	17
Gm38317	3
Gm39404	9
Shq1	6
Gm24178	9
Gm37813	3
D030040B21Rik	1
Gm29395	9
Gm37197	3
Gm2464	3
Idi1-ps5	1
Apeh	9
Slc35f5	1
Nr1h5	3
Gm13196	2
Adrm1	2
Gm49880	17
Gm49881	17
Gm49882	17
Gm49883	17
1700001K23Rik	19
Gmfb	14
Map3k4	17
Skint1	4
Gm36339	19
Sertad3	7
Hirip3	7
Mxi1	19
Gm6565	6
Fnbp4	2
