mouse_gene_symbol	mouse_chromosome	human_gene_symbol	human_chromosome
Pramel50	5	PRAMEF10	1
Pramel50	5	PRAMEF11	1
Pramel50	5	PRAMEF1	1
Pramel50	5	PRAMEF6	1
Pramel50	5	PRAMEF5	1
Pramel50	5	PRAMEF33	1
Pramel50	5	PRAMEF7	1
Pramel50	5	PRAMEF8	1
Dock8	19	DOCK8	9
Pxylp1	9	PXYLP1	3
Eif3j1	2	EIF3J	15
Aspdh	7	ASPDH	19
Cox8a	19	COX8A	11
Ska3	14	SKA3	13
Grip2	6	GRIP2	3
Fam47e	5	FAM47E	4
Fam47e	5	FAM47E-STBD1	4
Snord90	2	SNORD90	9
Cacng5	11	CACNG5	17
Kdm5c	X	KDM5C	X
Sfmbt1	14	SFMBT1	3
Nccrp1	7	NCCRP1	19
1700022I11Rik	4	C9orf131	9
Spg21	9	SPG21	15
Pgpep1l	7	PGPEP1L	15
Slc35a2	X	SLC35A2	X
Trim75	8	TRIM22	11
Ppp1r14d	2	PPP1R14D	15
Ngfr	11	NGFR	17
Cyc1	15	CYC1	8
Alk	17	ALK	2
Gm24218	16	RNU6-194P	6
Sugct	13	SUGCT	7
Ppp1r12c	7	PPP1R12C	19
Gm25210	7	SNORD116-5	15
Gm25210	7	SNORD116-1	15
Gm25210	7	SNORD116-3	15
Fam110c	12	FAM110C	2
Barhl2	5	BARHL2	1
Mtmr6	14	MTMR6	13
Lmcd1	6	LMCD1	3
Rab23	1	RAB23	6
Tnfaip8l3	9	TNFAIP8L3	15
Gorasp2	2	GORASP2	2
	3	RN7SKP18	6
	3	RN7SKP51	6
Cxxc5	18	CXXC5	5
Nrbp2	15	NRBP2	8
Tsc22d3	X	TSC22D3	X
Cnpy4	5	CNPY4	7
Mfsd8	3	MFSD8	4
Gm25049	17	RNU6-1186P	15
Safb2	17	SAFB2	19
Cdk12	11	CDK12	17
Ppp6c	2	PPP6C	9
Sgo2a	1	SGO2	2
Tdpoz9-ps1	3	SPOP	17
Ocm	5	OCM2	7
Ocm	5	OCM	7
Hspbp1	7	HSPBP1	19
Gimap7	6	GIMAP7	7
Osgin1	8	OSGIN1	16
Pdp2	8	PDP2	16
Mir218-1	5	MIR218-1	4
Mir139	7	MIR139	11
	8	RNU6-155P	6
Fgf21	7	FGF21	19
Fuom	7	FUOM	10
Clec4f	6	CLEC4F	2
Itgbl1	14	ITGBL1	13
Fbxo17	7	FBXO17	19
Poldip3	15	POLDIP3	22
Ighv8-11	12	IGHV2OR16-5	16
Ighv8-11	12	IGHV2-5	14
Ighv8-11	12	IGHV2-70D	14
Ighv8-11	12	IGHV2-70	14
Ltbp1	17	LTBP1	2
Trip10	17	TRIP10	19
Gm28919	Y	SYCP3	12
Tmed8	12	TMED8	14
Sphkap	1	SPHKAP	2
Cul9	17	CUL9	6
Inhba	13	INHBA	7
Ranbp3	17	RANBP3	19
Fnta	8	FNTA	8
Lep	6	LEP	7
Bpgm	6	BPGM	7
Fam219a	4	FAM219A	9
Ctag2l1	X	CTAG1B	X
Ctag2l1	X	CTAG2	X
Lsm3	6	LSM3	3
Bfar	16	BFAR	16
Fra10ac1	19	FRA10AC1	10
Ddx24	12	DDX24	14
Smim12	4	SMIM12	1
Ppa1	10	PPA1	10
Defb43	14	DEFB131B	11
Snai2	16	SNAI2	8
Gria2	3	GRIA2	4
Zcchc24	14	ZCCHC24	10
Cltc	11	CLTC	17
Fam25c	14	FAM25C	10
Fam25c	14	FAM25A	10
Acot12	13	ACOT12	5
Mfsd10	5	MFSD10	4
	4	RNU6-313P	7
Ppp2r5b	19	PPP2R5B	11
Tcf7l1	6	TCF7L1	2
Fndc1	17	FNDC1	6
Nck1	9	NCK1	3
Fat3	9	FAT3	11
Impg2	16	IMPG2	3
Lta4h	10	LTA4H	12
Rnf133	6	RNF133	7
Tg	15	TG	8
Tcim	8	TCIM	8
Dnttip2	3	DNTTIP2	1
Dennd11	6	DENND11	7
Fsbp	4	FSBP	8
Nutm1	2	NUTM1	15
Gfm1	3	GFM1	3
Rmi2	16	RMI2	16
Khnyn	14	KHNYN	14
Ubxn2a	12	UBXN2A	2
Trappc13	13	TRAPPC13	5
Gm21173	Y	SYCP3	12
Lrguk	6	LRGUK	7
Wrn	8	WRN	8
Gm25935	17	RNU6-18P	15
Sec23ip	7	SEC23IP	10
Agpat2	2	AGPAT2	9
Arl2	19	ARL2-SNX15	11
Arl2	19	ARL2	11
Fastkd5	2	FASTKD5	20
Nt5c1b	12	NT5C1B	2
Nt5c1b	12	NT5C1B-RDH14	2
Foxp3	X	FOXP3	X
Trat1	16	TRAT1	3
Gm26065	X	RNU6-890P	6
Metap1	3	METAP1	4
Cetn2	X	CETN2	X
Fbxo27	7	FBXO27	19
Gm23153	1	RN7SL454P	17
Gm23153	1	RN7SL838P	11
Gm28102	Y	SYCP3	12
Gm51430	2	SNORA17A	9
Rimkla	4	RIMKLA	1
Fam205a2	4	FAM205A	9
Dach2	X	DACH2	X
Taok2	7	TAOK2	16
Mzf1	7	MZF1	19
Dpm2	2	DPM2	9
Gm49358	10	NT5DC3	12
Pskh1	8	PSKH1	16
Ciapin1	8	CIAPIN1	16
Jrk	15	JRK	8
Pno1	11	PNO1	2
Trbv13-3	6	TRBV10-1	7
Trbv13-3	6	TRBV10-2	7
Trbv13-3	6	TRBV10-3	7
Clspn	4	CLSPN	1
Rest	5	REST	4
Il36a	2	IL36A	2
Kcnq3	15	KCNQ3	8
Smyd1	6	SMYD1	2
Tmem63b	17	TMEM63B	6
Cfap161	7	CFAP161	15
Cradd	10	CRADD	12
Mrps18c	5	MRPS18C	4
Elovl7	13	ELOVL7	5
Casp9	4	CASP9	1
Rpe65	3	RPE65	1
Zfp398	6	ZNF398	7
Rtl8c	X	RTL8C	X
Atpif1	4	ATP5IF1	1
Aqp6	15	AQP6	12
Dusp8	7	DUSP8	11
Scamp1	13	SCAMP1	5
AU040320	4	KIAA0319L	1
Zfy2	Y	ZNF837	19
Zfy2	Y		19
Zfy2	Y	ZNF584	19
Zfy2	Y	ZNF586	19
Zfy2	Y	ZNF480	19
Zfy2	Y	ZNF610	19
Zfy2	Y	ZNF548	19
Zfy2	Y	ZNF561	19
Zfy2	Y	ZNF562	19
Zfy2	Y	ZNF552	19
Zfy2	Y	ZNF587B	19
Zfy2	Y	ZNF256	19
Rpl37a	1	RPL37A	2
Gsc	12	GSC	14
Gm26397	8		10
Ccnb1	13	CCNB1	5
Fam91a1	15	FAM91A1	8
Ing4	6	ING4	12
Rbm19	5	RBM19	12
Rexo4	2	REXO4	9
Rbfox2	15	RBFOX2	22
Tspyl5	15	TSPYL5	8
Mrps33	6	MRPS33	7
Armc12	17	ARMC12	6
Tmed4	11	TMED4	7
Kank4	4	KANK4	1
Aldh18a1	19	ALDH18A1	10
Gm25005	18	RNU1-146P	12
Tescl	7	TESC	12
Asic1	15	ASIC1	12
Kdr	5	KDR	4
Dlx4	11	DLX4	17
Fmnl2	2	FMNL2	2
Gmpr2	14	GMPR2	14
Purb	11	PURB	7
Gm5935	X	SYCP3	12
Zfp385b	2	ZNF385B	2
Mir1251	10	MIR1251	12
Mrgprf	7	MRGPRF	11
Gm24764	9	RNU2-51P	14
Josd1	15	JOSD1	22
Uqcr11	10	UQCR11	19
Klk1b9	7	KLK2	19
Klk1b9	7	KLK1	19
Phpt1	2	PHPT1	9
Rexo2	9	REXO2	11
Atp8a1	5	ATP8A1	4
Slc3a1	17	SLC3A1	2
Pggt1b	18	PGGT1B	5
Fry	5	FRY	13
Psd	19	PSD	10
Mfsd9	1	MFSD9	2
Slc17a1	13	SLC17A1	6
N4bp2l2	5	N4BP2L2	13
Srrm3	5	SRRM3	7
Zfp708	13	ZNF195	11
Ceacam15	7	CEACAM21	19
Pdgfc	3	PDGFC	4
Fastkd2	1	FASTKD2	2
Dapk2	9	DAPK2	15
Ccdc28a	10	CCDC28A	6
Itgax	7	ITGAX	16
Gla	X	GLA	X
Qrsl1	10	QRSL1	6
Nhlrc2	19	NHLRC2	10
Acrbp	6	ACRBP	12
Gm10488	X	SYCP3	12
Sox30	11	SOX30	5
Gm24267	1	RNU6-656P	8
Asb10	5	ASB10	7
Pank4	4	PANK4	1
Smarce1	11	SMARCE1	17
Jag2	12	JAG2	14
Olfr671	7	OR52E6	11
Crx	7	CRX	19
Slc22a1	17	SLC22A1	6
Ms4a13	19	MS4A13	11
Tmtc2	10	TMTC2	12
Trav9n-3	14	TRAV8-1	14
Trav9n-3	14	TRAV8-3	14
Ssxb10	X	SSX4B	X
Ssxb10	X	SSX2	X
Cgas	9	CGAS	6
Gxylt1	15	GXYLT1	12
Aadacl3	4	AADACL3	1
Tut4	4	TUT4	1
Slc38a10	11	SLC38A10	17
Fam151b	13	FAM151B	5
Dipk1b	2	DIPK1B	9
Polr3e	7	POLR3E	16
Deptor	15	DEPTOR	8
Ttc4	4	TTC4	1
Pxdc1	13	PXDC1	6
Prss1	6	PRSS3	9
Stk31	6	STK31	7
Mir206	1	MIR206	6
Ssxb1	X	SSX4B	X
Ssxb1	X	SSX2	X
Nrg2	18	NRG2	5
Trav8d-1	14	TRAV17	14
Tmem131	1	TMEM131	2
Cpsf2	12	CPSF2	14
Cbln3	14	CBLN3	14
Kbtbd13	9	KBTBD13	15
Phex	X	PHEX	X
Ube2h	6	UBE2H	7
Soat2	15	SOAT2	12
Gm23858	2	RNU6-543P	10
Nipbl	15	NIPBL	5
Igsf11	16	IGSF11	3
Gtpbp4	13	GTPBP4	10
Med30	15	MED30	8
Mroh7	4	MROH7	1
Mroh7	4	MROH7-TTC4	1
Mapk3	7	MAPK3	16
Havcr2	11	HAVCR2	5
Sufu	19	SUFU	10
Gm20896	Y	SYCP3	12
Vat1l	8	VAT1L	16
Ms4a2	19	MS4A2	11
Gm23096	3	RNU6-57P	13
Cyp2f2	7	CYP2F1	19
Lrrc57	2	LRRC57	15
Ric8b	10	RIC8B	12
Gm25944	7	SNORD116-5	15
Gm25944	7	SNORD116-1	15
Gm25944	7	SNORD116-3	15
Olfr520	7	OR2AT4	11
Tgfa	6	TGFA	2
Trim2	3	TRIM2	4
Pepd	7	PEPD	19
Cdc42bpg	19	CDC42BPG	11
Prpf6	2	PRPF6	20
Dus2	8	DUS2	16
Cbx8	11	CBX8	17
Ighv8-13	12	IGHV2OR16-5	16
Ighv8-13	12	IGHV2-5	14
Ighv8-13	12	IGHV2-70D	14
Ighv8-13	12	IGHV2-70	14
Bbs12	3	BBS12	4
Cgrrf1	14	CGRRF1	14
Gm22523	4	RNU6-412P	4
Rac3	11	RAC3	17
Plac8	5	PLAC8	4
	2	RNU6-837P	12
Ndrg1	15	NDRG1	8
Abcc2	19	ABCC2	10
Gm24668	15	RNU6-645P	6
Msgn1	12	MSGN1	2
Gm5426	10	ATP5MGL	22
Socs5	17	SOCS5	2
Npat	9	NPAT	11
Aen	7	AEN	15
Hspa8	9	HSPA8	11
Adam21	12	ADAM21	14
	5	RN7SKP238	10
Gm24491	X	RNU6-583P	4
Gm24491	X	RNU6-205P	4
Rptor	11	RPTOR	17
Gm20812	Y	SPIN2A	X
Aldh7a1	18	ALDH7A1	5
Gm22597	18	RNU6-516P	15
Trav11	14	TRAV10	14
Fads1	19	FADS1	11
Pde1a	2	PDE1A	2
Emg1	6	EMG1	12
Utp20	10	UTP20	12
Ntng2	2	NTNG2	9
Slc25a38	9	SLC25A38	3
Olfr747	14	OR11H4	14
Arhgef7	8	ARHGEF7	13
Prph2	17	PRPH2	6
Gipc2	3	GIPC2	1
Ccdc65	15	CCDC65	12
Ptpru	4	PTPRU	1
Ube4b	4	UBE4B	1
Phka2	X	PHKA2	X
Ergic3	2	ERGIC3	20
Gm20937	Y	SYCP3	12
Gm25819	11	RNU6-410P	4
Sympk	7	SYMPK	19
Stk10	11	STK10	5
H2ab1	X	H2AB1	X
H2ab1	X	H2AB2	X
Mcm6	1	MCM6	2
Ublcp1	11	UBLCP1	5
Dhrs3	4	DHRS3	1
Cd300ld5	11	CD300LF	17
Gm20916	Y	SYCP3	12
Kazald1	19	KAZALD1	10
Calml3	13	CALML3	10
Afap1	5	AFAP1	4
Ankrd40	11	ANKRD40	17
Ifna5	4	IFNA5	9
Ifna5	4	IFNA21	9
Treh	9	TREH	11
Bbs1	19		11
Bbs1	19	BBS1	11
Trbv23	6	TRBV23-1	7
Wnt16	6	WNT16	7
Etnk1	6	ETNK1	12
Cel	2	CEL	9
Rxfp2	5	RXFP2	13
Gsdmc2	15	GSDMC	8
Rft1	14		3
Rft1	14	RFT1	3
Gm24016	4	SNORD54	8
Tecta	9	TECTA	11
Gm24735	8	RNU6-925P	8
Gm21317	Y	SYCP3	12
Crisp1	17	CRISP3	6
BC025920	10	ZNF77	19
Cops5	1	COPS5	8
Card11	5	CARD11	7
Aldoart1	4	ALDOA	16
Wtap	17	WTAP	6
Gpr139	7	GPR139	16
Trav13-5	14	TRAV22	14
Dmgdh	13	DMGDH	5
Slc22a18	7	SLC22A18	11
Atl1	12	ATL1	14
Gm25718	18	RNU6-119P	4
Tbc1d31	15	TBC1D31	8
Hey1	3	HEY1	8
Dhfr	13	DHFR	5
Catsper1	19	CATSPER1	11
Tacc1	8	TACC1	8
Ccdc112	18	CCDC112	5
Smg9	7	SMG9	19
Khdc1b	1		6
Khdc1b	1	KHDC1L	6
Lat2	5	LAT2	7
Pah	10	PAH	12
Plpp5	8	PLPP5	8
Usp32	11	USP32	17
Cox6b1	7	COX6B1	19
Gm22699	14	RNU6-699P	4
Rfwd3	8	RFWD3	16
Magea4	X	MAGEA10	X
Angptl3	4	ANGPTL3	1
Pkn1	8	PKN1	19
	9	SNORD14E	11
Psg28	7	CEACAM21	19
Olfr354	2	OR1N2	9
Gm25855	19	SNORD25	11
Dync1li2	8	DYNC1LI2	16
Dlgap3	4	DLGAP3	1
Uba2	7	UBA2	19
Plaat5	19	PLAAT5	11
Gtf2h4	17	GTF2H4	6
Cdca8	4	CDCA8	1
Pelo	13	PELO	5
Hexb	13	HEXB	5
Rnu2-10	11	RNU2-1	17
Rnu2-10	11		17
Mtpn	6	MTPN	7
Rnf224	2	RNF224	9
Myrf	19	MYRF	11
Npy2r	3	NPY2R	4
Maml1	11	MAML1	5
Hspb1	5	HSPB1	7
Trav10d	14	TRAV13-1	14
Trav10d	14	TRAV13-2	14
Immp2l	12	IMMP2L	7
Tpi1	6	TPI1	12
Ntsr2	12	NTSR2	2
Hpse	5	HPSE	4
Idh3a	9	IDH3A	15
Dhdh	7	DHDH	19
Ceacam3	7	CEACAM21	19
Gm13696	2	CWC22	2
Fer1l6	15	FER1L6	8
Tbpl1	10	TBPL1	6
Ighv1-23	12	IGHV1-45	14
Ighv1-23	12	IGHV1-46	14
Ighv1-23	12	IGHV1-58	14
Ighv1-23	12	IGHV1-3	14
Ighv1-23	12	IGHV1-69	14
Ighv1-23	12	IGHV1-69-2	14
Ighv1-23	12	IGHV1-69D	14
Zdhhc20	14	ZDHHC20	13
Prkrip1	5	PRKRIP1	7
2610001J05Rik	6	SMIM30	7
H2-T22	17	HLA-E	6
Rps6ka2	17	RPS6KA2	6
Sult2a8	7	SULT2A1	19
Asphd1	7	ASPHD1	16
H2-Q7	17	HLA-E	6
Bcl2l2	14	BCL2L2	14
Gm9495	8	POTEA	8
Pkd2	5	PKD2	4
Mir19b-2	X	MIR19B2	X
Gpam	19	GPAM	10
1700024G13Rik	14	C10orf53	10
Serpinf2	11	SERPINF2	17
Oog3	4	PRAMEF18	1
Oog3	4	PRAMEF2	1
Oog3	4	PRAMEF4	1
Oog3	4	PRAMEF13	1
Oog3	4	PRAMEF10	1
Oog3	4	PRAMEF11	1
Oog3	4	PRAMEF1	1
Oog3	4	PRAMEF6	1
Oog3	4	PRAMEF5	1
Oog3	4	PRAMEF33	1
Oog3	4	PRAMEF7	1
Oog3	4	PRAMEF8	1
Ighv1-63	12	IGHV1-45	14
Ighv1-63	12	IGHV1-46	14
Ighv1-63	12	IGHV1-58	14
Ighv1-63	12	IGHV1-3	14
Ighv1-63	12	IGHV1-69	14
Ighv1-63	12	IGHV1-69-2	14
Ighv1-63	12	IGHV1-69D	14
Tedc2	17	TEDC2	16
Kdm6a	X	KDM6A	X
Arc	15	ARC	8
Tmem200a	10	TMEM200A	6
Esr2	12	ESR2	14
Kcnn2	18	KCNN2	5
Cdan1	2	CDAN1	15
Psg29	7	CEACAM21	19
Gm6657	12	CCDC196	14
Rspo2	15	RSPO2	8
Tmppe	9	TMPPE	3
Hpd	5	HPD	12
Lcn10	2	LCN10	9
Vti1a	19	VTI1A	10
Trbv16	6	TRBV12-3	7
Trbv16	6	TRBV12-4	7
Ces5a	8	CES5A	16
Mir196a-2	15	MIR196A2	12
Mad1l1	5	MAD1L1	7
Lrrc26	2	LRRC26	9
Gm4779	X	CXorf49B	X
Gm4779	X	CXorf49	X
Fam205a3	4	FAM205A	9
1700001C19Rik	17	GUCA1ANB	6
Ccdc85a	11	CCDC85A	2
Spem1	11	SPEM1	17
Gm29644	Y	SPIN2A	X
Vasn	16	VASN	16
Thap1	8	THAP1	8
Slc35f1	10	SLC35F1	6
Aspscr1	11	ASPSCR1	17
Ftsj3	11	FTSJ3	17
Gal3st4	5	GAL3ST4	7
	11	RN7SKP29	8
Nrxn3	12	NRXN3	14
Ginm1	10	GINM1	6
Mir23b	13	MIR23B	9
Gm49339	10	LAIR2	19
Ripor2	13	RIPOR2	6
Dync2i1	12	DYNC2I1	7
Phykpl	11	PHYKPL	5
Zcchc14	8	ZCCHC14	16
Nat1	8	NAT1	8
Hs6st2	X	HS6ST2	X
Zbp1	2	ZBP1	20
Atn1	6	ATN1	12
Cck	9	CCK	3
Baiap2l1	5	BAIAP2L1	7
Pramel43	5	PRAMEF18	1
Pramel43	5	PRAMEF2	1
Pramel43	5	PRAMEF4	1
Pramel43	5	PRAMEF13	1
Pramel43	5	PRAMEF10	1
Pramel43	5	PRAMEF11	1
Pramel43	5	PRAMEF1	1
Pramel43	5	PRAMEF6	1
Pramel43	5	PRAMEF5	1
Pramel43	5	PRAMEF33	1
Pramel43	5	PRAMEF7	1
Pramel43	5	PRAMEF8	1
Ice2	9	ICE2	15
Ylpm1	12	YLPM1	14
Lsamp	16	LSAMP	3
Gm25918	5	RNU6-1014P	15
Ago1	4	AGO1	1
Rpl31	1	RPL31	2
Pomt1	2	POMT1	9
Btbd1	7	BTBD1	15
Mettl3	14	METTL3	14
Crym	7	CRYM	16
Kctd12	14	KCTD12	13
Tmeff2	1	TMEFF2	2
Rhbdf1	11	RHBDF1	16
Crh	3	CRH	8
Cd3g	9	CD3G	11
Laptm4a	12	LAPTM4A	2
Htra3	5	HTRA3	4
Cdnf	2	CDNF	10
Cib3	8	CIB3	19
Apc	18	APC	5
Mageb4	X	MAGEB2	X
Cacna1g	11	CACNA1G	17
Usp46	5	USP46	4
Nat3	8	NAT1	8
E130308A19Rik	4	KIAA1958	9
Poc1b	10	POC1B	12
Oprm1	10	OPRM1	6
Msi1	5	MSI1	12
Gm21454	Y	SPIN2A	X
Cachd1	4	CACHD1	1
Atxn7l3b	10	ATXN7L3B	12
Gm23895	18	RNU1-84P	11
Mtfmt	9	MTFMT	15
Ssty2	Y	SPIN2A	X
Gpihbp1	15	GPIHBP1	8
Aass	6	AASS	7
Hdac11	6	HDAC11	3
Cxcl9	5	CXCL9	4
Cldn34a	X	CLDN34	X
	16	RNU6-1338P	6
Tarsl2	7	TARS3	15
Gm23141	7	SNORD116-5	15
Gm23141	7	SNORD116-1	15
Gm23141	7	SNORD116-3	15
Orai3	7	ORAI3	16
Slc6a11	6	SLC6A11	3
Atg5	10	ATG5	6
Zbtb3	19	ZBTB3	11
Fbxo48	11	FBXO48	2
Dbx2	15	DBX2	12
Rassf10	7	RASSF10	11
Ighv1-16	12	IGHV1-45	14
Ighv1-16	12	IGHV1-46	14
Ighv1-16	12	IGHV1-58	14
Ighv1-16	12	IGHV1-3	14
Ighv1-16	12	IGHV1-69	14
Ighv1-16	12	IGHV1-69-2	14
Ighv1-16	12	IGHV1-69D	14
Ighv1-39	12	IGHV1-45	14
Ighv1-39	12	IGHV1-46	14
Ighv1-39	12	IGHV1-58	14
Ighv1-39	12	IGHV1-3	14
Ighv1-39	12	IGHV1-69	14
Ighv1-39	12	IGHV1-69-2	14
Ighv1-39	12	IGHV1-69D	14
Fbxw5	2	FBXW5	9
Ddias	7	DDIAS	11
Chrna10	7	CHRNA10	11
Epha5	5	EPHA5	4
H3c1	13	H3C2	6
Mustn1	14	MUSTN1	3
Mustn1	14		3
Gm25834	18	RNU6-1286P	6
Cnga2	X	CNGA2	X
Gne	4	GNE	9
Hgsnat	8	HGSNAT	8
Sytl4	X	SYTL4	X
Adam18	8	ADAM18	8
Rec8	14	REC8	14
Arfgap3	15	ARFGAP3	22
Bsnd	4	BSND	1
Hcn1	13	HCN1	5
Cwc22	2	CWC22	2
Eif1ad	19	EIF1AD	11
Dgkz	2	DGKZ	11
Pramel48	5	PRAMEF18	1
Pramel48	5	PRAMEF2	1
Pramel48	5	PRAMEF4	1
Pramel48	5	PRAMEF13	1
Pramel48	5	PRAMEF10	1
Pramel48	5	PRAMEF11	1
Pramel48	5	PRAMEF1	1
Pramel48	5	PRAMEF6	1
Pramel48	5	PRAMEF5	1
Pramel48	5	PRAMEF33	1
Pramel48	5	PRAMEF7	1
Pramel48	5	PRAMEF8	1
Ckap2	8	CKAP2	13
Katna1	10	KATNA1	6
Msantd1	5	MSANTD1	4
Gm23203	17	RNU6-1204P	14
Zfp668	7	ZNF668	16
B4galnt1	10	B4GALNT1	12
Wdr41	13	WDR41	5
Gm24430	10	RNU6-491P	12
Nlrp4b	7	NLRP4	19
Gm20929	Y	SYCP3	12
Yipf5	18	YIPF5	5
Krt75	15	KRT75	12
Gm10147	X	SYCP3	12
Cdx4	X	CDX4	X
Clmp	9	CLMP	11
Hnmt	2	HNMT	2
Cd6	19	CD6	11
Ptms	6	PTMS	12
Hs6st3	14	HS6ST3	13
Olfr1100	2	OR8H3	11
Pttg1	11	PTTG1	5
N4bp3	11	N4BP3	5
Cldn15	5	CLDN15	7
Gprasp1	X	GPRASP1	X
Galm	17	GALM	2
Rasgef1a	6	RASGEF1A	10
Ighv1-82	12	IGHV1-45	14
Ighv1-82	12	IGHV1-46	14
Ighv1-82	12	IGHV1-58	14
Ighv1-82	12	IGHV1-3	14
Ighv1-82	12	IGHV1-69	14
Ighv1-82	12	IGHV1-69-2	14
Ighv1-82	12	IGHV1-69D	14
Folr1	7	FOLR1	11
Dele1	18	DELE1	5
Trim9	12	TRIM9	14
Gm23946	14	SNORA74C-2	10
Gm23946	14	SNORA74C-1	10
Rab37	11	RAB37	17
Slc24a4	12	SLC24A4	14
Spin2c	X	SPIN2A	X
Snord116l10	7	SNORD116-5	15
Snord116l10	7	SNORD116-1	15
Snord116l10	7	SNORD116-3	15
Ubfd1	7	UBFD1	16
Hsd17b13	5	HSD17B13	4
Cstl1	2	CSTL1	20
Asb17	3	ASB17	1
Nup37	10	NUP37	12
Nfxl1	5	NFXL1	4
Gm25128	17	SNORD117	6
Aifm2	10	AIFM2	10
Zfp277	12	ZNF277	7
Fam76b	9	FAM76B	11
Odf3b	15	ODF3B	22
Enpep	3	ENPEP	4
Pus7	5	PUS7	7
Aqp3	4	AQP3	9
Actbl2	13	ACTBL2	5
Nudt12	17	NUDT12	5
Parp16	9	PARP16	15
Hoxb8	11	HOXB8	17
Prdm5	6	PRDM5	4
Slc2a2	3	SLC2A2	3
Rpl34	3	RPL34	4
Wnk2	13	WNK2	9
Ina	19	INA	10
Cyp4a31	4	CYP4F12	19
Snora52	7	SNORA52	11
Nrg4	9	NRG4	15
Zfp473	7	ZNF473	19
Ing1	8	ING1	13
Pla1a	16	PLA1A	3
Atp6v1g2	17	ATP6V1G2-DDX39B	6
Sepsecs	5	SEPSECS	4
Tmem174	13	TMEM174	5
Rmdn3	2	RMDN3	15
Myf6	10	MYF6	12
AA792892	5	PRAMEF18	1
AA792892	5	PRAMEF2	1
AA792892	5	PRAMEF4	1
AA792892	5	PRAMEF13	1
AA792892	5	PRAMEF10	1
AA792892	5	PRAMEF11	1
AA792892	5	PRAMEF1	1
AA792892	5	PRAMEF6	1
AA792892	5	PRAMEF5	1
AA792892	5	PRAMEF33	1
AA792892	5	PRAMEF7	1
AA792892	5	PRAMEF8	1
Slurp2	15	LYNX1	8
Npr3	15	NPR3	5
Elane	10	ELANE	19
Gm2042	12	PRAMEF18	1
Gm2042	12	PRAMEF2	1
Gm2042	12	PRAMEF4	1
Gm2042	12	PRAMEF13	1
Gm2042	12	PRAMEF10	1
Gm2042	12	PRAMEF11	1
Gm2042	12	PRAMEF1	1
Gm2042	12	PRAMEF6	1
Gm2042	12	PRAMEF5	1
Gm2042	12	PRAMEF33	1
Gm2042	12	PRAMEF7	1
Gm2042	12	PRAMEF8	1
Lonrf3	X	LONRF3	X
Zdhhc12	2	ZDHHC12	9
Eif4ebp2	10	EIF4EBP2	10
C1qtnf2	11	C1QTNF2	5
Ppp1r15a	7	PPP1R15A	19
Tdrd6	17	TDRD6	6
Tial1	7	TIAL1	10
Ipcef1	10		6
Olfr656	7	OR52P1P	11
Gm23144	15	RNU6-990P	17
Tdrd12	7	TDRD12	19
Zfand6	7	ZFAND6	15
Bspry	4	BSPRY	9
Anpep	7	ANPEP	15
Tpm4	8	TPM4	19
Dync1li1	9	DYNC1LI1	3
Gm22266	X	SNORA17A	9
Spata5	3	SPATA5	4
Prr18	17	PRR18	6
Mipol1	12	MIPOL1	14
Serpine3	14	SERPINE3	13
Rfx3	19	RFX3	9
Btk	X	BTK	X
Gpr107	2	GPR107	9
Cldn34c4	X	CLDN34	X
Hilpda	6	HILPDA	7
Mir423	11	MIR423	17
Npas3	12	NPAS3	14
Mrpl21	19	MRPL21	11
Arsb	13	ARSB	5
Tspan8	10	TSPAN8	12
Alcam	16	ALCAM	3
Lysmd2	9	LYSMD2	15
Snord116l9	7	SNORD116-5	15
Snord116l9	7	SNORD116-1	15
Snord116l9	7	SNORD116-3	15
Fam110d	4	FAM110D	1
Gm22298	2		4
Gm22298	2		7
Gm26079	5	SNORA49	12
Ncr1	7	NCR1	19
Bhlhe22	3	BHLHE22	8
Rbm28	6	RBM28	7
Clcf1	19	CLCF1	11
Npc1l1	11	NPC1L1	7
Erg28	12	ERG28	14
Gm23547	6	SCARNA12	12
Arhgap25	6	ARHGAP25	2
Slc15a3	19	SLC15A3	11
Rimbp3	16	RIMBP3C	22
Slco6c1	1	SLCO6A1	5
Hbq1b	11	HBQ1	16
Ppm1l	3	PPM1L	3
Dchs2	3	DCHS2	4
Xpo5	17	XPO5	6
Olfr160	9	OR8A1	11
Trex2	X	TREX2	X
Rasl11b	5	RASL11B	4
Ppp1r10	17	PPP1R10	6
Sugp1	8	SUGP1	19
Gm49345	13	ZNF85	19
Gm49345	13	ZNF682	19
Gm49345	13	ZNF724	19
Ms4a4b	19	MS4A4A	11
Cyp24a1	2	CYP24A1	20
Fam184b	5	FAM184B	4
Paox	7	PAOX	10
Ccdc148	2	CCDC148	2
Rbms3	9	RBMS3	3
Gpr27	6	GPR27	3
Pou2f3	9	POU2F3	11
Slc6a5	7	SLC6A5	11
Slc37a2	9	SLC37A2	11
Elf4	X	ELF4	X
Ntrk3	7	NTRK3	15
	6	RN7SL366P	6
Dpy19l3	7	DPY19L3	19
Riox2	16	RIOX2	3
Tmem185a	X	TMEM185A	X
Nanos2	7	NANOS2	19
Prr15l	11	PRR15L	17
Klk1b1	7	KLK2	19
Klk1b1	7	KLK1	19
Grm6	11	GRM6	5
Ndufa8	2	NDUFA8	9
Cops6	5	COPS6	7
Zfp334	2	ZNF334	20
Lpcat2	8	LPCAT2	16
