mouse_gene_symbol	mouse_chromosome	human_gene_symbol	human_chromosome	human_gene_symbol_unique	human_chromosome_unique	entity_type	category	parent	consensus_score	database_cs	database_tf
Itga11	9	ITGA11	15	ITGA11	15	protein	integrin, transmembrane, transmembrane_phobius, plasma_membrane_transmembrane, transmembrane_predicted, receptor, adhesion, itb_4, extracellular, matrix_adhesion, transmembrane_sosui, cell_surface, intracellular, ecm, transmembrane_tmhmm, integrins	receptor, transmembrane, transmembrane_predicted, plasma_membrane_transmembrane, adhesion, extracellular, matrix_adhesion, cell_surface, intracellular	15	Surfaceome, OmniPath, Almen2009, CSPA, HPMR, Adhesome, GO_Intercell, Phobius, CellTalkDB, Integrins, iTALK, CellPhoneDB, UniProt, Zhong2015, EMBRACE, LOCATE, scConnect, connectomeDB2020, Ramilowski_location, ICELLNET, MCAM, Membranome, TopDB, talklr, LRdb, CellCellInteractions, Ramilowski2015	NA
Itga2	13	ITGA2	5	ITGA2	5	protein	cell_surface, receptor, transmembrane, transmembrane_predicted, intracellular, adhesion, growth_factor, integrin, plasma_membrane_transmembrane, extracellular, plasma_membrane, ecm, cell_adhesion, matrix_adhesion, transmembrane_tmhmm, transmembrane_phobius	cell_surface, receptor, transmembrane, intracellular, adhesion, transmembrane_predicted, plasma_membrane_transmembrane, extracellular, plasma_membrane, cell_adhesion, matrix_adhesion	15	OmniPath, scConnect, TopDB, Cellinker, iTALK, connectomeDB2020, Ramilowski_location, ComPPI, GO_Intercell, Surfaceome, Phobius, CellPhoneDB, Membranome, DGIdb, LRdb, talklr, UniProt, LOCATE, ICELLNET, CellCellInteractions, Ramilowski2015, EMBRACE, Zhong2015, CSPA, Integrins, Almen2009, Adhesome, CellTalkDB	NA
Itga2b	11	ITGA2B	17	ITGA2B	17	protein	receptor, integrin, adhesion, matrix_adhesion, extracellular, intracellular, plasma_membrane_transmembrane, transmembrane, plasma_membrane, cell_adhesion, cell_surface, transmembrane_tmhmm, transmembrane_predicted, transmembrane_phobius, itb_4, ecm, integrins	receptor, adhesion, matrix_adhesion, extracellular, intracellular, plasma_membrane_transmembrane, transmembrane, plasma_membrane, cell_adhesion, transmembrane_predicted, cell_surface	16	OmniPath, Integrins, UniProt, LRdb, Zhong2015, HPMR, LOCATE, CellCellInteractions, ComPPI, iTALK, Cellinker, Almen2009, Surfaceome, ICELLNET, Phobius, TopDB, DGIdb, connectomeDB2020, GO_Intercell, Ramilowski2015, scConnect, OPM, EMBRACE, CellTalkDB, Membranome, CSPA, CellPhoneDB, talklr, Ramilowski_location	NA
Itga3	11	ITGA3	17	ITGA3	17	protein	receptor, adhesion, transmembrane_predicted, integrin, plasma_membrane_transmembrane, cell_surface, plasma_membrane, transmembrane_sosui, matrix_adhesion, intracellular, transmembrane_tmhmm, transmembrane, cell_adhesion, integrins, ecm, extracellular, itab, transmembrane_phobius	receptor, adhesion, transmembrane, matrix_adhesion, plasma_membrane_transmembrane, cell_surface, plasma_membrane, transmembrane_predicted, intracellular, cell_adhesion, extracellular	16	CellPhoneDB, OmniPath, HPMR, CellCellInteractions, UniProt, LRdb, Membranome, Almen2009, CellTalkDB, Zhong2015, Surfaceome, EMBRACE, LOCATE, Cellinker, Integrins, connectomeDB2020, Ramilowski2015, Ramilowski_location, GO_Intercell, ICELLNET, Phobius, DGIdb, CSPA, iTALK, talklr, Adhesome, scConnect	NA
Itga4	2	ITGA4	2	ITGA4	2	protein	transmembrane, intracellular, matrix_adhesion, receptor, ecm, plasma_membrane_transmembrane, integrin, cell_adhesion, adhesion, cell_surface, extracellular, plasma_membrane, growth_factor, itab, integrins	transmembrane, intracellular, matrix_adhesion, receptor, plasma_membrane_transmembrane, cell_adhesion, adhesion, cell_surface, extracellular, plasma_membrane, transmembrane_predicted	15	Ramilowski_location, UniProt, OmniPath, Cellinker, connectomeDB2020, ICELLNET, HPMR, Membranome, Surfaceome, GO_Intercell, CellCellInteractions, talklr, TopDB, CSPA, Adhesome, iTALK, EMBRACE, LOCATE, scConnect, LRdb, CellTalkDB, CellPhoneDB, Zhong2015, MCAM, Phobius, Ramilowski2015	NA
Itga5	15	ITGA5	12	ITGA5	12	protein	adhesion, receptor, transmembrane, plasma_membrane_transmembrane, integrins, ecm, transmembrane_predicted, intracellular, matrix_adhesion, integrin, plasma_membrane, growth_factor, extracellular, transmembrane_phobius, cell_surface, cell_adhesion, transmembrane_tmhmm, itab, transmembrane_sosui	adhesion, receptor, transmembrane, plasma_membrane_transmembrane, intracellular, matrix_adhesion, plasma_membrane, extracellular, transmembrane_predicted, cell_surface, cell_adhesion	16	Adhesome, talklr, iTALK, HPMR, UniProt, OmniPath, ICELLNET, LOCATE, Integrins, CellPhoneDB, GO_Intercell, Membranome, scConnect, TopDB, CellTalkDB, Zhong2015, Almen2009, DGIdb, CSPA, Surfaceome, Cellinker, connectomeDB2020, Ramilowski_location, CellCellInteractions, EMBRACE, Ramilowski2015, Phobius, LRdb	NA
Itga6	2	ITGA6	2	ITGA6	2	protein	transmembrane, integrin, transmembrane_tmhmm, extracellular, cell_surface, receptor, matrix_adhesion, intracellular, adhesion, plasma_membrane_transmembrane, transmembrane_phobius, plasma_membrane, transmembrane_predicted, cell_adhesion, integrins, ecm, transmembrane_sosui, itab	transmembrane, receptor, transmembrane_predicted, extracellular, cell_surface, matrix_adhesion, intracellular, adhesion, plasma_membrane_transmembrane, plasma_membrane, cell_adhesion	17	OmniPath, UniProt, Almen2009, HPMR, Ramilowski2015, Zhong2015, LOCATE, Cellinker, ComPPI, Surfaceome, CSPA, talklr, scConnect, Membranome, iTALK, EMBRACE, Phobius, Integrins, LRdb, connectomeDB2020, ICELLNET, CellCellInteractions, Ramilowski_location, CellTalkDB, CellPhoneDB, TopDB, Adhesome, DGIdb, GO_Intercell	NA
Itga7	10	ITGA7	12	ITGA7	12	protein	receptor, cell_adhesion, transmembrane_predicted, cell_surface, transmembrane, matrix_adhesion, plasma_membrane_transmembrane, intracellular, integrin, adhesion, transmembrane_phobius, plasma_membrane, extracellular, integrins, itab	receptor, cell_adhesion, transmembrane, cell_surface, matrix_adhesion, plasma_membrane_transmembrane, intracellular, transmembrane_predicted, adhesion, plasma_membrane, extracellular	14	Surfaceome, OmniPath, HPMR, GO_Intercell, connectomeDB2020, scConnect, CellCellInteractions, UniProt, Zhong2015, ComPPI, Cellinker, LRdb, Phobius, CellPhoneDB, TopDB, iTALK, Integrins, Almen2009, talklr, Ramilowski2015, EMBRACE, Membranome, CSPA, Ramilowski_location, CellTalkDB	NA
Itga8	2	ITGA8	10	ITGA8	10	protein	receptor, plasma_membrane, transmembrane_predicted, transmembrane_sosui, intracellular, integrin, cell_surface, matrix_adhesion, transmembrane, plasma_membrane_transmembrane, extracellular, transmembrane_phobius, adhesion, integrins, transmembrane_tmhmm, ecm, itab	receptor, plasma_membrane, transmembrane, transmembrane_predicted, intracellular, cell_surface, matrix_adhesion, plasma_membrane_transmembrane, extracellular, adhesion	16	LRdb, Cellinker, OmniPath, Almen2009, LOCATE, UniProt, Surfaceome, connectomeDB2020, CellCellInteractions, Zhong2015, CellPhoneDB, iTALK, Adhesome, CellTalkDB, HPMR, ICELLNET, GO_Intercell, scConnect, EMBRACE, CSPA, Integrins, Ramilowski_location, talklr, Membranome, MCAM, Phobius, Ramilowski2015	NA
Itga9	9	ITGA9	3	ITGA9	3	protein	integrin, transmembrane, cell_surface, integrins, receptor, matrix_adhesion, adhesion, transmembrane_sosui, transmembrane_tmhmm, intracellular, plasma_membrane_transmembrane, cell_adhesion, transmembrane_predicted, growth_factor, itab, extracellular, plasma_membrane, transmembrane_phobius, ecm	receptor, transmembrane, cell_surface, matrix_adhesion, adhesion, transmembrane_predicted, intracellular, plasma_membrane_transmembrane, cell_adhesion, extracellular, plasma_membrane	17	UniProt, CellPhoneDB, OmniPath, HPMR, iTALK, Zhong2015, LOCATE, Ramilowski_location, MCAM, Guide2Pharma, Almen2009, scConnect, Integrins, TopDB, Surfaceome, CellTalkDB, ComPPI, Ramilowski2015, Phobius, connectomeDB2020, Adhesome, EMBRACE, Cellinker, GO_Intercell, CSPA, Membranome, LRdb, CellCellInteractions, ICELLNET, talklr	NA
Itgad	7	ITGAD	16	ITGAD	16	protein	receptor, matrix_adhesion, integrin, transmembrane, plasma_membrane_transmembrane, ecm, adhesion, itam, plasma_membrane, cell_adhesion, extracellular, ligand, cell_surface, integrins	receptor, matrix_adhesion, transmembrane_predicted, transmembrane, plasma_membrane_transmembrane, ligand, adhesion, plasma_membrane, cell_adhesion, extracellular, cell_surface	13	CellPhoneDB, OmniPath, UniProt, Phobius, CellTalkDB, ICELLNET, connectomeDB2020, LRdb, iTALK, HPMR, Cellinker, CellCellInteractions, scConnect, Surfaceome, Ramilowski_location, Ramilowski2015, Membranome, Zhong2015, Adhesome, Integrins, GO_Intercell, talklr	NA
Itgae	11	ITGAE	17	ITGAE	17	protein	receptor, plasma_membrane_transmembrane, transmembrane, cell_adhesion, integrin, matrix_adhesion, cell_surface, adhesion, itb_4, integrins, extracellular	receptor, plasma_membrane_transmembrane, transmembrane, cell_adhesion, matrix_adhesion, cell_surface, adhesion, extracellular, transmembrane_predicted	14	EMBRACE, Membranome, UniProt, OmniPath, Surfaceome, HPMR, Adhesome, LRdb, scConnect, Integrins, CellTalkDB, CSPA, LOCATE, talklr, connectomeDB2020, Ramilowski2015, CellCellInteractions, DGIdb, CellPhoneDB, Ramilowski_location, ICELLNET, iTALK, GO_Intercell, Zhong2015, Phobius	NA
Itgal	7	ITGAL	16	ITGAL	16	protein	integrin, plasma_membrane_transmembrane, itb_4, matrix_adhesion, plasma_membrane, receptor, transmembrane, cell_surface, cell_adhesion, intracellular, adhesion, extracellular, ligand, transmembrane_sosui, transmembrane_phobius, integrins, ecm, transmembrane_tmhmm, transmembrane_predicted	cell_adhesion, plasma_membrane_transmembrane, receptor, matrix_adhesion, plasma_membrane, transmembrane, cell_surface, intracellular, adhesion, extracellular, ligand, transmembrane_predicted	15	OmniPath, HPMR, Zhong2015, CellCellInteractions, UniProt, Integrins, connectomeDB2020, LRdb, Cellinker, scConnect, LOCATE, Adhesome, talklr, Surfaceome, CellTalkDB, Almen2009, OPM, Phobius, Membranome, CellPhoneDB, GO_Intercell, EMBRACE, TopDB, Ramilowski_location, ICELLNET, Ramilowski2015, CellChatDB, CSPA, iTALK	NA
Itgam	7	ITGAM	16	ITGAM	16	protein	plasma_membrane_transmembrane, transmembrane, intracellular, receptor, matrix_adhesion, adhesion, cell_surface, integrin, cell_adhesion, ecm, extracellular, integrins, plasma_membrane, itam, growth_factor	plasma_membrane_transmembrane, transmembrane, intracellular, receptor, matrix_adhesion, adhesion, cell_surface, cell_adhesion, extracellular, plasma_membrane, transmembrane_predicted	15	OmniPath, UniProt, LOCATE, iTALK, HPMR, GO_Intercell, Ramilowski2015, MCAM, CellPhoneDB, connectomeDB2020, Surfaceome, Cellinker, Membranome, scConnect, CellTalkDB, CellCellInteractions, ICELLNET, Zhong2015, OPM, CSPA, LRdb, talklr, EMBRACE, Ramilowski_location, Phobius, DGIdb, Integrins, Adhesome, TopDB	NA
Itgav	2	ITGAV	2	ITGAV	2	protein	transmembrane, receptor, integrin, ecm, intracellular, cell_surface, plasma_membrane, plasma_membrane_transmembrane, extracellular, matrix_adhesion, growth_factor, cell_surface_ligand, ligand_regulator, cell_adhesion, integrins, itab, transmembrane_predicted, adhesion, transmembrane_phobius, growth_factor_binder, transmembrane_sosui, transmembrane_tmhmm	transmembrane, receptor, matrix_adhesion, intracellular, cell_surface, plasma_membrane, plasma_membrane_transmembrane, extracellular, cell_surface_ligand, ligand_regulator, cell_adhesion, transmembrane_predicted, adhesion	20	TopDB, Almen2009, UniProt, ICELLNET, OmniPath, Cellinker, ComPPI, Surfaceome, Membranome, scConnect, CellPhoneDB, iTALK, EMBRACE, HPMR, Phobius, talklr, LOCATE, Integrins, Ramilowski2015, CellCellInteractions, CellTalkDB, LRdb, Zhong2015, GO_Intercell, connectomeDB2020, DGIdb, CSPA, Ramilowski_location, Adhesome	NA
Itgax	7	ITGAX	16	ITGAX	16	protein	cell_surface, plasma_membrane_transmembrane, transmembrane, receptor, integrin, adhesion, plasma_membrane, extracellular, cell_adhesion, matrix_adhesion, intracellular, itam, integrins	cell_surface, plasma_membrane_transmembrane, transmembrane, receptor, matrix_adhesion, adhesion, plasma_membrane, extracellular, cell_adhesion, intracellular, transmembrane_predicted	14	OmniPath, CSPA, UniProt, Ramilowski2015, HPMR, Integrins, CellCellInteractions, Adhesome, CellTalkDB, Surfaceome, Ramilowski_location, Cellinker, TopDB, Membranome, ICELLNET, CellPhoneDB, GO_Intercell, Phobius, MCAM, LRdb, connectomeDB2020, Zhong2015, LOCATE, talklr, scConnect, iTALK, OPM	NA
Itgb1	8	ITGB1	10	ITGB1	10	protein	receptor, transmembrane, adhesion, intracellular, growth_factor, plasma_membrane, cell_surface, extracellular, transmembrane_phobius, transmembrane_tmhmm, plasma_membrane_transmembrane, integrin, cell_adhesion, cytokine, matrix_adhesion, ecm, transmembrane_predicted, transmembrane_sosui	receptor, transmembrane, adhesion, intracellular, plasma_membrane, cell_surface, extracellular, transmembrane_predicted, plasma_membrane_transmembrane, cell_adhesion, matrix_adhesion	45	EMBRACE, OPM, Adhesome, LOCATE, Ramilowski_location, UniProt, LRdb, iTALK, talklr, OmniPath, HPMR, Almen2009, Baccin2019, DGIdb, connectomeDB2020, CSPA, CellPhoneDB, Surfaceome, Integrins, GO_Intercell, CellTalkDB, Cellinker, ICELLNET, ComPPI, Kirouac2010, Membranome, TopDB, Zhong2015, Phobius, Ramilowski2015, CellCellInteractions, scConnect	NA
Itgb1bp1	12	ITGB1BP1	2	ITGB1BP1	2	protein	integrins, extracellular, plasma_membrane_transmembrane, plasma_membrane, receptor, matrix_adhesion, intracellular, adhesion_cytoskeleton_adaptor, intracellular_intercellular_related, itb_4, adhesion, cell_surface	receptor, extracellular, plasma_membrane_transmembrane, plasma_membrane, matrix_adhesion, intracellular, intracellular_intercellular_related, adhesion, cell_surface	3	HPMR, OmniPath, UniProt, Adhesome, ComPPI, Zhong2015, LOCATE, GO_Intercell	NA
Itgb1bp2	X	ITGB1BP2	X	ITGB1BP2	X	protein	intracellular	intracellular	2	GO_Intercell, ComPPI, OmniPath	NA
Itgb2	10	ITGB2	21	ITGB2	21	protein	plasma_membrane, receptor, extracellular, transmembrane, ecm, cell_adhesion, integrin, cell_surface, intracellular, cell_surface_ligand, growth_factor, itb_4, matrix_adhesion, plasma_membrane_transmembrane, adhesion, transmembrane_sosui, integrins, transmembrane_phobius, transmembrane_predicted, transmembrane_tmhmm	plasma_membrane, receptor, extracellular, transmembrane, cell_adhesion, matrix_adhesion, cell_surface, intracellular, cell_surface_ligand, plasma_membrane_transmembrane, adhesion, transmembrane_predicted	17	Cellinker, DGIdb, LOCATE, CellPhoneDB, Ramilowski2015, ICELLNET, Baccin2019, Integrins, scConnect, EMBRACE, OmniPath, Ramilowski_location, connectomeDB2020, TopDB, ComPPI, iTALK, Surfaceome, LRdb, HPMR, talklr, CellChatDB, UniProt, Zhong2015, Almen2009, CSPA, Adhesome, Membranome, GO_Intercell, CellTalkDB, CellCellInteractions, Phobius, OPM, MCAM	NA
Itgb2l	16	ITGB2	21	ITGB2	21	protein	plasma_membrane, receptor, extracellular, transmembrane, ecm, cell_adhesion, integrin, cell_surface, intracellular, cell_surface_ligand, growth_factor, itb_4, matrix_adhesion, plasma_membrane_transmembrane, adhesion, transmembrane_sosui, integrins, transmembrane_phobius, transmembrane_predicted, transmembrane_tmhmm	plasma_membrane, receptor, extracellular, transmembrane, cell_adhesion, matrix_adhesion, cell_surface, intracellular, cell_surface_ligand, plasma_membrane_transmembrane, adhesion, transmembrane_predicted	17	Cellinker, DGIdb, LOCATE, CellPhoneDB, Ramilowski2015, ICELLNET, Baccin2019, Integrins, scConnect, EMBRACE, OmniPath, Ramilowski_location, connectomeDB2020, TopDB, ComPPI, iTALK, Surfaceome, LRdb, HPMR, talklr, CellChatDB, UniProt, Zhong2015, Almen2009, CSPA, Adhesome, Membranome, GO_Intercell, CellTalkDB, CellCellInteractions, Phobius, OPM, MCAM	NA
Itgb3	11	ITGB3	17	ITGB3	17	protein	receptor, integrin, plasma_membrane_transmembrane, intracellular, ligand_regulator, transmembrane, adhesion, matrix_adhesion, cell_adhesion, transmembrane_tmhmm, plasma_membrane, extracellular, transmembrane_phobius, transmembrane_sosui, transmembrane_predicted, cell_surface, integrins, ecm, growth_factor_binder, itb_4, growth_factor	receptor, matrix_adhesion, plasma_membrane_transmembrane, intracellular, ligand_regulator, transmembrane, adhesion, transmembrane_predicted, cell_adhesion, plasma_membrane, extracellular, cell_surface	17	LRdb, talklr, Integrins, connectomeDB2020, Almen2009, Ramilowski2015, OmniPath, ComPPI, GO_Intercell, UniProt, Adhesome, HPMR, Phobius, Cellinker, TopDB, Membranome, Surfaceome, LOCATE, Zhong2015, Baccin2019, CellTalkDB, CellCellInteractions, OPM, scConnect, Ramilowski_location, iTALK, ICELLNET, CellPhoneDB, EMBRACE, CSPA	NA
Itgb3bp	4	ITGB3BP	1	ITGB3BP	1	protein	intracellular, matrix_adhesion, plasma_membrane, cell_adhesion, adhesion	intracellular, matrix_adhesion, plasma_membrane, cell_adhesion, adhesion	3	GO_Intercell, Zhong2015, ComPPI, OmniPath, Cellinker, UniProt	NA
Itgb4	11	ITGB4	17	ITGB4	17	protein	receptor, transmembrane, plasma_membrane, transmembrane_sosui, transmembrane_predicted, plasma_membrane_transmembrane, integrin, cell_surface, intracellular, adhesion, integrins, cell_adhesion, matrix_adhesion, transmembrane_phobius, itb_4, growth_factor_binder, extracellular, ligand_regulator	receptor, transmembrane, plasma_membrane, transmembrane_predicted, plasma_membrane_transmembrane, cell_surface, intracellular, adhesion, matrix_adhesion, cell_adhesion, ligand_regulator, extracellular	14	GO_Intercell, OmniPath, EMBRACE, UniProt, Almen2009, CSPA, scConnect, Integrins, LOCATE, iTALK, LRdb, talklr, MCAM, Cellinker, connectomeDB2020, CellCellInteractions, Phobius, HPMR, Ramilowski_location, Adhesome, TopDB, Zhong2015, Membranome, Surfaceome, CellPhoneDB, Ramilowski2015, CellTalkDB	NA
Itgb5	16	ITGB5	3	ITGB5	3	protein	matrix_adhesion, receptor, intracellular, transmembrane, cell_adhesion, ecm, cell_surface, integrin, itb_4, extracellular, plasma_membrane_transmembrane, plasma_membrane, adhesion, integrins	matrix_adhesion, receptor, intracellular, transmembrane_predicted, cell_adhesion, cell_surface, transmembrane, extracellular, plasma_membrane_transmembrane, plasma_membrane, adhesion	15	Cellinker, Surfaceome, LOCATE, Phobius, CellPhoneDB, CellCellInteractions, ICELLNET, connectomeDB2020, Ramilowski2015, OmniPath, LRdb, UniProt, CellTalkDB, talklr, Integrins, HPMR, EMBRACE, GO_Intercell, CSPA, scConnect, iTALK, Ramilowski_location, Membranome, ComPPI, TopDB, Zhong2015, Adhesome	NA
Itgb6	2	ITGB6	2	ITGB6	2	protein	receptor, transmembrane_phobius, plasma_membrane_transmembrane, intracellular, cell_surface, integrin, matrix_adhesion, plasma_membrane, transmembrane, itb_4, growth_factor, ecm, transmembrane_predicted, integrins, transmembrane_sosui, extracellular, adhesion, transmembrane_tmhmm	receptor, transmembrane_predicted, plasma_membrane_transmembrane, intracellular, cell_surface, matrix_adhesion, plasma_membrane, transmembrane, extracellular, adhesion	15	talklr, Cellinker, Almen2009, GO_Intercell, HPMR, Membranome, OmniPath, connectomeDB2020, CellTalkDB, Integrins, Zhong2015, UniProt, Surfaceome, TopDB, scConnect, iTALK, ICELLNET, ComPPI, LRdb, LOCATE, Adhesome, CellPhoneDB, CSPA, DGIdb, Ramilowski_location, Phobius, Ramilowski2015, CellCellInteractions	NA
Itgb7	15	ITGB7	12	ITGB7	12	protein	extracellular, cell_surface, receptor, integrins, transmembrane, integrin, plasma_membrane_transmembrane, matrix_adhesion, adhesion, intracellular, transmembrane_tmhmm, plasma_membrane, cell_adhesion, transmembrane_predicted, transmembrane_phobius, ecm, itb_4, transmembrane_sosui	extracellular, cell_surface, receptor, transmembrane, plasma_membrane_transmembrane, matrix_adhesion, adhesion, intracellular, transmembrane_predicted, plasma_membrane, cell_adhesion	15	HPMR, Surfaceome, CellTalkDB, UniProt, Ramilowski2015, iTALK, ICELLNET, Membranome, GO_Intercell, OmniPath, talklr, scConnect, ComPPI, Almen2009, connectomeDB2020, Integrins, LRdb, TopDB, Zhong2015, Cellinker, CSPA, Ramilowski_location, Adhesome, CellPhoneDB, CellCellInteractions, EMBRACE, Phobius	NA
Itgb8	12	ITGB8	7	ITGB8	7	protein	integrins, growth_factor, receptor, plasma_membrane_transmembrane, cell_surface, transmembrane, intracellular, adhesion, transmembrane_tmhmm, integrin, transmembrane_predicted, plasma_membrane, extracellular, matrix_adhesion, transmembrane_phobius, itb_4, transmembrane_sosui	receptor, plasma_membrane_transmembrane, cell_surface, transmembrane, intracellular, adhesion, transmembrane_predicted, matrix_adhesion, plasma_membrane, extracellular	15	HPMR, iTALK, talklr, EMBRACE, OmniPath, connectomeDB2020, GO_Intercell, CellCellInteractions, ComPPI, Phobius, Almen2009, UniProt, Ramilowski_location, CellPhoneDB, LOCATE, CellTalkDB, scConnect, LRdb, Surfaceome, Cellinker, Integrins, CSPA, Membranome, Zhong2015, Adhesome, Ramilowski2015	NA
Itgbl1	14	ITGBL1	13	ITGBL1	13	protein	receptor, adhesion, plasma_membrane_transmembrane, matrix_adhesion, extracellular, secreted, itb_4, integrins, integrin	receptor, adhesion, plasma_membrane_transmembrane, matrix_adhesion, extracellular, secreted	3	GO_Intercell, HPMR, OmniPath, Zhong2015, HPA_secretome, LOCATE, UniProt	NA
Itih1	14	ITIH1	3	ITIH1	3	protein	intracellular, secreted, ecm_regulator, extracellular, inter_alpha_trypsin_inhibitor, secreted_peptidase_inhibitor	intracellular, secreted, ecm_regulator, extracellular, secreted_peptidase_inhibitor	3	ComPPI, HPA_secretome, OmniPath, Matrisome, UniProt, HGNC, LOCATE	NA
Itih2	2	ITIH2	10	ITIH2	10	protein	secreted, ecm_regulator, extracellular, inter_alpha_trypsin_inhibitor, intracellular, secreted_peptidase_inhibitor	secreted, ecm_regulator, extracellular, secreted_peptidase_inhibitor, intracellular	5	UniProt, OmniPath, Baccin2019, HPA_secretome, LOCATE, HGNC, GO_Intercell, Cellinker, Matrisome	NA
Itih3	14	ITIH3	3	ITIH3	3	protein	secreted, extracellular, intracellular, inter_alpha_trypsin_inhibitor, secreted_peptidase_inhibitor, ecm_regulator	secreted, extracellular, intracellular, secreted_peptidase_inhibitor, ecm_regulator	3	OmniPath, GO_Intercell, LOCATE, HGNC, UniProt, HPA_secretome, Matrisome	NA
Itih4	14	ITIH4	3	ITIH4	3	protein	secreted_peptidase_inhibitor, secreted, ecm_regulator, extracellular, intracellular, inter_alpha_trypsin_inhibitor	secreted_peptidase_inhibitor, secreted, ecm_regulator, extracellular, intracellular	3	OmniPath, UniProt, LOCATE, GO_Intercell, HPA_secretome, ComPPI, HGNC, Matrisome	NA
Itih5	2	ITIH5	10	ITIH5	10	protein	inter_alpha_trypsin_inhibitor, secreted, intracellular, secreted_peptidase_inhibitor, ecm_regulator	secreted_peptidase_inhibitor, secreted, intracellular, ecm_regulator	2	HGNC, UniProt, ComPPI, OmniPath, Matrisome	NA
Itk	11	ITK	5	ITK	5	protein	receptor, intracellular	receptor, intracellular	3	OmniPath, ComPPI, scConnect, LOCATE, UniProt, GO_Intercell	NA
Itln1	1	ITLN1	1	ITLN1	1	protein	cell_adhesion, secreted, plasma_membrane, adhesion, peripheral, cell_surface, extracellular	cell_adhesion, secreted, plasma_membrane, adhesion, peripheral, cell_surface, extracellular	3	Cellinker, HPA_secretome, OmniPath, UniProt, Surfaceome	NA
Itm2a	X	ITM2A	X	ITM2A	X	protein	transmembrane, intracellular, transmembrane_tmhmm, transmembrane_predicted, transmembrane_sosui, transmembrane_phobius	transmembrane, intracellular, transmembrane_predicted	6	Ramilowski_location, GO_Intercell, Almen2009, UniProt, OmniPath, Phobius, LOCATE, ComPPI	NA
Itm2b	14	ITM2B	13	ITM2B	13	protein	intracellular, transmembrane, plasma_membrane_transmembrane, transmembrane_predicted, plasma_membrane, transmembrane_tmhmm, transmembrane_sosui, cell_adhesion, secreted, adhesion, cell_surface, transmembrane_phobius	intracellular, transmembrane, plasma_membrane_transmembrane, plasma_membrane, transmembrane_predicted, cell_adhesion, secreted, adhesion, cell_surface	6	ComPPI, OmniPath, UniProt, CSPA, Almen2009, Cellinker, Surfaceome, Phobius, Ramilowski_location, GO_Intercell, TopDB	NA
Itm2c	1	ITM2C	2	ITM2C	2	protein	intracellular, transmembrane_predicted, plasma_membrane, transmembrane, transmembrane_sosui, cell_surface, transmembrane_phobius, transmembrane_tmhmm	intracellular, transmembrane, plasma_membrane, transmembrane_predicted, cell_surface	6	ComPPI, OmniPath, UniProt, LOCATE, Phobius, Almen2009, Surfaceome, Ramilowski_location, GO_Intercell	NA
Itpa	2	ITPA	20	ITPA	20	protein	intracellular	intracellular	3	ComPPI, GO_Intercell, OmniPath, LOCATE, UniProt	NA
Itpk1	12	ITPK1	14	ITPK1	14	protein	intracellular	intracellular	2	ComPPI, GO_Intercell, OmniPath	NA
Itpka	2	ITPKA	15	ITPKA	15	protein	intracellular, receptor	intracellular, receptor	3	ComPPI, LOCATE, scConnect, OmniPath, GO_Intercell, UniProt	NA
Itpkb	1	ITPKB	1	ITPKB	1	protein	receptor, intracellular	receptor, intracellular	3	scConnect, ComPPI, OmniPath, GO_Intercell, UniProt	NA
Itpkc	7	ITPKC	19	ITPKC	19	protein	receptor, intracellular	receptor, intracellular	3	scConnect, UniProt, OmniPath, GO_Intercell, ComPPI	NA
Itpr1	6	ITPR1	3	ITPR1	3	protein	intracellular, receptor, transmembrane, ion_channel, voltage_gated, transporter	intracellular, receptor, transmembrane, ion_channel, transmembrane_predicted, transporter	5	ComPPI, scConnect, UniProt, OmniPath, Ramilowski_location, Phobius, Almen2009, TopDB, GO_Intercell	NA
Itpr2	6	ITPR2	12	ITPR2	12	protein	transmembrane, receptor, voltage_gated, ion_channel, transporter, intracellular	transmembrane, receptor, ion_channel, transmembrane_predicted, transporter, intracellular	5	UniProt, OmniPath, Almen2009, Phobius, GO_Intercell, ComPPI, LOCATE, Ramilowski_location, scConnect, CellCellInteractions	NA
Itpr3	17	ITPR3	6	ITPR3	6	protein	transmembrane, receptor, intracellular	transmembrane, receptor, transmembrane_predicted, intracellular	5	OPM, CellCellInteractions, Phobius, OmniPath, scConnect, UniProt, ComPPI, GO_Intercell, Ramilowski_location	NA
Itprid2	2	ITPRID2	2	ITPRID2	2	protein	intracellular	intracellular	3	ComPPI, GO_Intercell, UniProt, OmniPath	NA
Itprip	19	ITPRIP	10	ITPRIP	10	protein	plasma_membrane_transmembrane, transmembrane, plasma_membrane, intracellular	plasma_membrane_transmembrane, transmembrane, plasma_membrane, intracellular	4	Membranome, UniProt, OmniPath, Ramilowski_location, GO_Intercell, ComPPI	NA
Itpripl1	2	ITPRIPL1	2	ITPRIPL1	2	protein	plasma_membrane_transmembrane, transmembrane, transmembrane_predicted, transmembrane_sosui	plasma_membrane_transmembrane, transmembrane_predicted, transmembrane	5	OmniPath, Phobius, UniProt, Almen2009, Membranome, Ramilowski_location	NA
Itpripl2	7	ITPRIPL2	16	ITPRIPL2	16	protein	transmembrane, intracellular, transmembrane_phobius, plasma_membrane_transmembrane, transmembrane_predicted, transmembrane_sosui	transmembrane, transmembrane_predicted, intracellular, plasma_membrane_transmembrane	5	UniProt, Phobius, ComPPI, Ramilowski_location, Almen2009, OmniPath, Membranome	NA
